Date,Close
2021-12-21,48936.61328125
2021-12-22,36163.609503361615
2021-12-23,36265.9927757833
2021-12-24,35680.78229419017
2021-12-25,35701.07918873463
2021-12-26,35751.8034491018
2021-12-27,36128.16883254908
2021-12-28,35966.69247589275
2021-12-29,35749.682281811285
2021-12-30,36262.936856805434
2021-12-31,35851.70603435322
2022-01-01,36811.84381987464
2022-01-02,36962.14310293613
2022-01-03,36077.26880690737
2022-01-04,36268.82499350265
2022-01-05,36479.31589376468
2022-01-06,36391.141645923715
2022-01-07,36559.372981653985
2022-01-08,36872.37897829361
2022-01-09,37170.40897460905
2022-01-10,37258.66711042195
2022-01-11,36402.869983334174
2022-01-12,37616.66901734475
2022-01-13,36971.61445443483
2022-01-14,37054.9112159072
2022-01-15,37306.539179743115
2022-01-16,37610.78088064754
2022-01-17,37820.41692252883
2022-01-18,38015.63621723221
2022-01-19,38280.24284872704
2022-01-20,38363.98701271643
